distance_to_entry,crowd_level,accessibility,user_type,friction_score
195.43,0.025,0.275,0,0.4253
39.72,0.7407,0.5454,2,0.1851
18.64,0.2186,0.5054,0,0.2071
217.65,0.7013,0.4195,1,0.6134
244.73,0.0065,0.8058,2,0.1836
90.58,0.2153,0.7635,0,0.2341
38.05,0.8475,0.6037,0,0.4467
165.51,0.9731,0.3785,2,0.4807
192.31,0.8855,0.3616,0,0.7383
23.29,0.2279,0.2894,0,0.2781
261.28,0.3801,0.4534,1,0.534
113.03,0.6702,0.7018,2,0.2526
186.65,0.1711,0.7291,0,0.3918
88.28,0.9254,0.6882,0,0.5297
254.43,0.776,0.229,0,0.8257
126.34,0.0662,0.9131,2,0.0326
101.26,0.6554,0.3956,2,0.2797
86.82,0.2466,0.5614,1,0.2391
134.25,0.5835,0.362,0,0.5338
36.36,0.0471,0.1096,2,0.0087
207.34,0.5964,0.3848,2,0.4526
163.44,0.9711,0.8608,0,0.6237
43.22,0.8848,0.7509,2,0.1947
95.12,0.1582,0.0032,2,0.2
86.38,0.5006,0.1787,0,0.4913
96.55,0.6389,0.609,0,0.4391
56.85,0.9535,0.9224,0,0.4405
151.7,0.1119,0.363,1,0.2985
79.85,0.5674,0.0788,2,0.2818
30.07,0.7606,0.7658,0,0.3677
284.59,0.1651,0.5277,2,0.3545
71.42,0.5393,0.7299,0,0.3627
125.71,0.6717,0.3734,2,0.3261
81.89,0.064,0.021,2,0.1048
73.86,0.071,0.6311,0,0.1835
19.11,0.3304,0.5142,1,0.1716
72.13,0.1323,0.9355,2,0.0
80.47,0.473,0.4071,0,0.3807
135.0,0.4236,0.467,2,0.2106
199.5,0.6462,0.0606,2,0.4837
259.89,0.2487,0.1902,1,0.5373
63.21,0.4626,0.8745,0,0.2784
259.79,0.5503,0.0506,2,0.5723
291.01,0.9264,0.8487,0,0.7854
149.59,0.8647,0.9024,0,0.5393
295.74,0.2652,0.7841,1,0.4867
212.01,0.7305,0.7834,2,0.4101
54.89,0.2967,0.9687,2,0.0
27.68,0.3136,0.0501,1,0.2614
257.29,0.1574,0.9608,0,0.4699
29.87,0.068,0.8618,1,0.0
268.18,0.2462,0.5945,2,0.3245
200.64,0.5652,0.3164,1,0.5378
217.7,0.2387,0.3958,2,0.3197
142.6,0.929,0.9357,0,0.5494
299.55,0.9961,0.0733,0,0.9837
